Year,Revenue,Company
2023,$55.74 B,Delta Airlines
2022,$50.58 B,Delta Airlines
2021,$29.90 B,Delta Airlines
2020,$17.09 B,Delta Airlines
2019,$47.00 B,Delta Airlines
2018,$44.43 B,Delta Airlines
2017,$41.22 B,Delta Airlines
2016,$39.63 B,Delta Airlines
2015,$40.70 B,Delta Airlines
2014,$40.36 B,Delta Airlines
2013,$37.77 B,Delta Airlines
2023,$13.47 B,Singapore Airlines
2022,$11.40 B,Singapore Airlines
2021,$4.62 B,Singapore Airlines
2020,$4.22 B,Singapore Airlines
2019,$12.41 B,Singapore Airlines
2018,$12.03 B,Singapore Airlines
2017,$11.34 B,Singapore Airlines
2016,$10.79 B,Singapore Airlines
2015,$11.07 B,Singapore Airlines
2014,$11.99 B,Singapore Airlines
2013,$12.14 B,Singapore Airlines
2023,$37.25 B,Lufthansa
2022,$34.22 B,Lufthansa
2021,$19.46 B,Lufthansa
2020,$15.54 B,Lufthansa
2019,$40.71 B,Lufthansa
2018,$42.05 B,Lufthansa
2017,$40.98 B,Lufthansa
2016,$34.98 B,Lufthansa
2015,$35.50 B,Lufthansa
2014,$39.11 B,Lufthansa
2013,$39.91 B,Lufthansa
2023,$9.63 B,Turkish Airlines
2022,$16.79 B,Turkish Airlines
2021,$13.12 B,Turkish Airlines
2020,$6.00 B,Turkish Airlines
2019,$13.05 B,Turkish Airlines
2018,$10.46 B,Turkish Airlines
2017,$10.96 B,Turkish Airlines
2016,$9.67 B,Turkish Airlines
2015,$10.13 B,Turkish Airlines
2014,$10.85 B,Turkish Airlines
2013,$9.49 B,Turkish Airlines
